2026-02-28T14:47:12+09:00,cta_click,pseo_fault,FIX,BORDERLINE,ford,f-150,cam-phasers,/verdict/ford/f-150/cam-phasers,inline
2026-02-28T14:47:57+09:00,cta_click,pseo_fault,FIX,STABLE,honda,cr-v,vibration,/verdict/honda/cr-v/vibration,inline
2026-02-28T14:59:22+09:00,cta_click,smoke,SELL,TIME_BOMB,toyota,,,,
2026-02-28T14:59:30+09:00,cta_click,smoke,SELL,TIME_BOMB,toyota,,,,
2026-02-28T15:19:54+09:00,cta_click,playwright,SELL,TIME_BOMB,toyota,camry,,,
2026-02-28T15:20:00+09:00,cta_click,pseo_fault,SELL,TIME_BOMB,acura,mdx,rod-bearing,,inline
2026-02-28T15:21:35+09:00,cta_click,playwright,SELL,TIME_BOMB,toyota,camry,,,
2026-02-28T15:22:04+09:00,cta_click,pseo_fault,SELL,TIME_BOMB,acura,mdx,rod-bearing,,inline
2026-02-28T15:22:34+09:00,cta_click,playwright,SELL,TIME_BOMB,toyota,camry,,,
2026-02-28T15:22:36+09:00,cta_click,pseo_fault,SELL,TIME_BOMB,acura,mdx,rod-bearing,,inline
2026-02-28T15:22:59+09:00,cta_click,playwright,SELL,TIME_BOMB,toyota,camry,,,
2026-02-28T15:23:00+09:00,cta_click,pseo_fault,SELL,TIME_BOMB,acura,mdx,rod-bearing,,inline
2026-02-28T15:36:17+09:00,cta_click,playwright,SELL,TIME_BOMB,toyota,camry,,,
2026-02-28T15:36:23+09:00,cta_click,pseo_fault,SELL,TIME_BOMB,acura,mdx,rod-bearing,,inline
2026-02-28T15:37:07+09:00,cta_click,playwright,SELL,TIME_BOMB,toyota,camry,,,
2026-02-28T15:37:08+09:00,cta_click,pseo_fault,SELL,TIME_BOMB,acura,mdx,rod-bearing,,inline
2026-02-28T15:39:29+09:00,cta_click,playwright,SELL,TIME_BOMB,toyota,camry,,,
2026-02-28T15:39:31+09:00,cta_click,pseo_fault,SELL,TIME_BOMB,acura,mdx,rod-bearing,,inline
